Layer,Name,GEOID,Population,CZA_2023,CZB_2023,CZD_2023,CZH_2023,CZL_2023,CZM_2023,CZO_2023,CZP_2023,CZR_2023,CZS_2023,CZT_2023,CZU_2012-2016,CZV_2023,SVI_2022,CAR_2018-2022,CHAOVXP_2018-2022,EKR_2022,EKW_2022,EVC_2018,EVF_2018,EVR_2018,HTJ_2018-2022,HUO_2018-2022,RBS_2018-2022,RBU_2018-2022,TRF_2020,TRV_2018-2022,VAC_2018-2022,CHAIXYP_2023,PMC_2020,FAI_2022,LFA_2019,WWW_2018-2022
,,,,"Aggravated assault/battery (crimes), 2023","Burglary (crimes), 2023","Drug abuse (crimes), 2023","Homicide (crimes), 2023","Larceny (theft) (crimes), 2023","Major crime (crimes), 2023","Arson (crimes), 2023","Property crime (crimes), 2023","Robbery (crimes), 2023","Criminal sexual assault (crimes), 2023","Motor vehicle theft (crimes), 2023","Public crime (crimes), 2012-2016","Violent crime (crimes), 2023","Social Vulnerability Index (percentile), 2022","Drive alone to work (% of workers 16 years and older), 2018-2022","Households (count of households), 2018-2022","Proximity to roads, railways, and airports index, 2022","Walkability Index, 2022","Evictions (evictions), 2018","Eviction filing rate (filings per 100 renter-occupied households), 2018","Eviction rate (% of renter-occupied households), 2018","Crowded housing (% of occupied housing units), 2018-2022","Owner occupied (% of occupied housing units), 2018-2022","Severely rent-burdened (% of renter-occupied housing units), 2018-2022","Rent-burdened (% of renter-occupied housing units), 2018-2022","Traffic intensity (distance-weighted vehicles), 2020","Mean travel time to work (minutes), 2018-2022","Vacant (% of housing units), 2018-2022","Chicago Environmental Justice Index (score), 2023","Particulate matter (PM 2.5) concentration (µg/m3), 2020","Food insecurity (% of residents), 2022","Low food access (% of residents), 2019","Internet access (% of households), 2018-2022"
Census tract,Tract 5304,17031530400,2059,20.0,4.0,3.0,2.0,34.0,98.0,1.0,72.0,4.0,0.0,33.0,67.0,26.0,57.48,56.54761904761904,816.0,75.0,13.42,2.0,7.94,1.59,0.9803921568627452,76.47058823529412,35.41666666666667,55.208333333333336,295.7437845122535,48.4,5.005820721769499,64.22,9.737057104,8.9,80.41,89.58333333333334
Census tract,Tract 5305.01,17031530501,4514,51.0,16.0,5.0,3.0,76.0,255.0,2.0,183.0,13.0,5.0,89.0,181.0,72.0,94.32,74.94493392070484,1805.0,37.0,13.58,21.0,7.920000000000001,3.47,4.321329639889196,50.85872576177285,45.32130777903044,63.6978579481398,40.031858060863975,38.3,25.16583747927032,61.06,9.717149727,27.3,50.73,83.71191135734072
Census tract,Tract 5305.02,17031530502,1570,9.0,1.0,1.0,0.0,16.0,58.0,0.0,45.0,4.0,0.0,28.0,54.0,13.0,54.43,61.82432432432432,584.0,37.0,11.17,0.0,4.82,0.0,0.0,91.43835616438356,28.000000000000004,70.0,60.76823657,37.2,8.607198748043817,59.29,9.742706011,9.7,100.0,87.84246575342466
Census tract,Tract 5305.03,17031530503,4898,58.0,9.0,4.0,1.0,78.0,250.0,1.0,180.0,7.0,4.0,92.0,184.03066629,70.0,67.15,59.0092879256966,1525.0,52.22544826827441,13.112716896657416,12.029619184,6.075793951525423,2.276369137641604,0.7868852459016393,77.31147540983606,23.121387283236995,50.0,186.64921933744384,41.5,9.923213230950974,58.53,9.756064754,12.5,99.92103183977707,89.24590163934425
Census tract,Tract 5306,17031530600,2774,42.0,17.0,0.0,2.0,52.0,185.0,2.0,124.0,16.0,1.0,53.0,109.0,61.0,82.83,40.50367261280168,954.0,62.0,13.67,18.0,7.9,3.47,5.765199161425576,46.12159329140461,40.856031128404666,56.809338521400775,54.373718594837776,42.8,27.06422018348624,61.82,9.725938525,12.0,100.0,89.41299790356393
Census tract,Tract 5401.01,17031540101,4324,84.0,18.0,1.0,2.0,81.0,307.0,1.0,188.0,25.0,8.0,88.0,179.0,119.0,87.12,64.98572787821124,1647.0,65.0,13.38,44.0,6.83,3.07,10.564663023679415,4.61445051608986,21.13303628262253,35.07320178230427,43.764980204791854,43.8,8.296213808463252,70.42,9.749409836065572,34.4,100.0,90.7103825136612
Census tract,Tract 5401.02,17031540102,2938,56.0,11.0,2.0,4.0,71.0,215.0,0.0,130.0,14.0,11.0,48.0,139.0,85.0,78.8,49.550561797752806,1283.0,71.0,12.33,42.0,7.759999999999999,4.13,4.676539360872954,15.276695245518315,24.37902483900644,36.98252069917204,108.2002103303778,37.0,7.230657989877079,76.99,9.709368032786887,30.7,100.0,84.95713172252533
Census tract,Tract 5501,17031550100,7019,38.0,10.0,5.0,0.0,79.0,203.0,1.0,153.0,6.0,6.0,63.0,39.0,50.0,86.92999999999999,65.0616792678074,2668.0,65.0,12.5,27.0,8.58,3.68,0.8620689655172413,58.84557721139431,32.42258652094718,38.3424408014572,83.34188016832739,37.3,14.541960281870594,61.31,9.600731967213108,,27.83,87.25637181409296
Census tract,Tract 5502,17031550200,2969,11.0,8.0,3.0,1.0,37.0,98.0,0.0,82.0,3.0,1.0,37.0,11.0,16.0,49.07,65.30278232405891,1057.0,63.0,12.08,1.0,0.48,0.48,0.7568590350047304,81.26773888363292,46.96969696969697,52.52525252525253,118.32978236281576,37.0,3.4703196347031966,48.8,9.691712568306007,11.2,38.12,86.8495742667928
Census tract,Tract 5601,17031560100,1477,9.0,4.0,0.0,0.0,17.0,50.0,0.0,29.0,11.0,1.0,8.0,19.0,21.0,73.75,63.35078534031413,342.0,99.0,14.33,,,,1.7543859649122806,78.65497076023392,0.0,61.64383561643836,706.0176006,34.1,7.065217391304348,93.55,9.513304372,12.6,91.98,64.03508771929825
